TLANAME,CRASHDATE,CRASHDOW,CRASHTIME,MVMT,VEHICLES,CAUSES,OBJECTSSTRUCK,ROADCURVE,ROADWET,LIGHT,WTHRa,JUNCTYPE,TRAFCTRL,ROADMARK,SPDLIM,CRASHFATALCNT,CRASHSEVCNT,CRASHMINCNT,EASTING,NORTHING
Ashburton District,06/04/2014,Sun,2200,DA,4N1,103A 332A 358A 801 904 ,F,M,W,DN,M , , ,C,100,0,0,1,1481626,5156163
Ashburton District,03/01/2014,Fri,855,CC,4S1,135A 406A 903 ,,R,D,B ,FS, ,N,C,100,0,0,1,1477280,5151687
Ashburton District,01/12/2014,Mon,924,HA,CN2C,301A 375A ,,R,D,B ,F ,X,S,C,50,0,0,0,1499413,5137647
Ashburton District,13/05/2014,Tue,1240,HA,CE1C,321B ,,R,D,O ,F ,X,S,C,50,0,0,0,1499578,5137471
Ashburton District,16/02/2014,Sun,1130,HA,CN1C,302A 335A ,,R,D,B ,F ,X,G,N,50,0,0,0,1500398,5137491
Ashburton District,17/02/2014,Mon,1700,HA,CN1C,113A 302A ,,R,D,B ,F ,X,G,C,50,0,0,0,1500398,5137491
Ashburton District,08/12/2014,Mon,2100,CB,CN1,130A 433A ,CFX,R,D,TN,F , , ,N,100,0,0,2,1520712,5155694
Ashburton District,07/07/2014,Mon,815,QC,TN1,363A 370A 532A 902 ,FNS,R,D,B ,F , ,G,C,50,1,0,0,1502292,5140467
Ashburton District,23/05/2014,Fri,1325,HA,CN2C,302A 834 ,,R,D,B ,F ,X,G,R,50,0,0,0,1499168,5139156
Ashburton District,06/09/2014,Sat,1655,DB,CN1C,103A 111A 131A ,S,M,D,BF,F ,R,G,R,50,0,0,0,1499428,5139421
Ashburton District,19/01/2014,Sun,1440,MO,CW1M,371A ,M,R,D,B ,F , ,N,C,50,0,0,1,1500745,5137649
Ashburton District,06/03/2014,Thu,1630,DA,CN2V,131A 402A ,,R,D,B ,F ,T,G,C,50,0,0,0,1499795,5138305
Ashburton District,04/12/2014,Thu,740,DC,CW1,130A 613A 901 ,S,R,W,O ,H ,X,S,R,100,0,0,0,1482907,5171627
Ashburton District,19/02/2014,Wed,2330,DB,CW1,131A 810 840 ,T,E,W,DN,F , ,N,N,100,0,0,1,1484328,5171280
Ashburton District,14/03/2014,Fri,1126,LB,VE1C,303B 377B 929 ,,R,D,BF,F ,D,N,C,50,0,0,0,1490298,5168751
Ashburton District,14/02/2014,Fri,610,CB,CN1,133A 150A ,FK,R,W,DO,L ,T,G,C,50,0,0,0,1500317,5140168
Ashburton District,17/03/2014,Mon,1030,DA,TS1,129A 350A ,,E,D,BN,F , ,N,C,100,0,0,0,1517723,5157207
Ashburton District,08/11/2014,Sat,1630,CB,4N1,110A 138A 402A ,,R,D,B ,F , , ,N,100,0,0,2,1503232,5128183
Ashburton District,27/05/2014,Tue,630,DB,CW14,410A ,HM,M,D,DO,F ,T,G,C,50,0,0,0,1500519,5139324
Ashburton District,24/01/2014,Fri,15,FA,MW1C,112A 331A 370A ,,R,D,DN,F , , ,C,100,0,0,1,1501452,5138890
Ashburton District,04/04/2014,Fri,345,CB,CS1,134A 358A 402A 407A ,F,R,D,DN,F , , ,C,100,0,0,0,1511903,5136091
Ashburton District,28/03/2014,Fri,1440,MA,TW1C,373B ,,R,D,BN,F , ,N,C,100,0,0,0,1503286,5137923
Ashburton District,20/06/2014,Fri,1705,CB,CW1,129A 501A ,F,R,D,TN,F , ,N,C,100,0,0,1,1506906,5137061
Ashburton District,22/10/2014,Wed,2130,DB,CW1,131A 350A ,V,M,D,DN,F , ,N,C,100,0,0,0,1506899,5125140
